constituency_number,constituency_name,serial_number,candidate_name,party,evm_votes,postal_votes,total_votes,vote_percentage,constituency_name_freq,party_freq
183.0,KUMHRAR,1.0,missing,Indian National Congress,52869.0,92.0,52961.0,30.52,0.004896817068905212,0.021336131514515563
158.0,NATHNAGAR,4.0,missing,Jan Suraaj Party,5194.0,39.0,5233.0,2.17,0.005596362364463099,0.0832458901713886
87.0,JALE,3.0,missing,Bahujan Samaj Party,1243.0,3.0,1246.0,0.62,0.003497726477789437,0.06330884924798881
111.0,GORIAKOTHI,1.0,missing,Rashtriya Janata Dal,93431.0,93.0,93524.0,43.84,0.0038474991255683807,0.050017488632388946
78.0,KUSHESHWAR ASTHAN,2.0,missing,Aam Aadmi Party,3459.0,5.0,3464.0,2.11,0.0038474991255683807,0.029031129765652326
25.0,PARIHAR,3.0,missing,Rashtriya Janata Dal,48374.0,160.0,48534.0,23.11,0.003497726477789437,0.050017488632388946
45.0,CHHATAPUR,13.0,missing,Independent,1115.0,0.0,1115.0,0.45,0.004896817068905212,0.3235396991955229
8.0,BETTIAH,3.0,missing,Jan Suraaj Party,6245.0,52.0,6297.0,3.21,0.002448408534452606,0.0832458901713886
32.0,BENIPATTI,3.0,missing,Bharatiya Janata Party,86932.0,221.0,87153.0,49.74,0.004197271773347324,0.035327037425673315
72.0,SINGHESHWAR,7.0,missing,Independent,1908.0,1.0,1909.0,0.83,0.0031479538300104933,0.3235396991955229
23.0,RIGA,9.0,missing,Independent,669.0,0.0,669.0,0.31,0.0038474991255683807,0.3235396991955229
152.0,BIHPUR,8.0,missing,Independent,1239.0,0.0,1239.0,0.71,0.0038474991255683807,0.3235396991955229
240.0,SIKANDRA,1.0,missing,Rashtriya Janata Dal,67577.0,119.0,67696.0,34.85,0.0038474991255683807,0.050017488632388946
188.0,PHULWARI,9.0,missing,Prabal Bharat Party,1154.0,1.0,1155.0,0.45,0.004547044421126268,0.0003497726477789437
106.0,ZIRADEI,5.0,missing,Swatantra Samaj Party,807.0,0.0,807.0,0.51,0.0038474991255683807,0.0003497726477789437
166.0,JAMALPUR,9.0,missing,Independent,552.0,2.0,554.0,0.28,0.005596362364463099,0.3235396991955229
92.0,SAKRA,5.0,missing,Jan Suraaj Party,6372.0,42.0,6414.0,3.11,0.0031479538300104933,0.0832458901713886
80.0,BENIPUR,4.0,missing,Jan Suraaj Party,6519.0,39.0,6558.0,3.48,0.005246589716684155,0.0832458901713886
39.0,PHULPARAS,5.0,missing,Ekta Dal United,2422.0,1.0,2423.0,1.18,0.0038474991255683807,0.0003497726477789437
25.0,PARIHAR,4.0,missing,Jan Suraaj Party,3201.0,16.0,3217.0,1.53,0.003497726477789437,0.0832458901713886
137.0,MOHIUDDINNAGAR,3.0,missing,Rashtriya Janata Dal,77279.0,247.0,77526.0,42.31,0.004547044421126268,0.050017488632388946
157.0,SULTANGANJ,11.0,missing,Independent,858.0,2.0,860.0,0.41,0.004547044421126268,0.3235396991955229
117.0,MARHAURA,6.0,missing,Independent,17299.0,11.0,17310.0,9.64,0.003497726477789437,0.3235396991955229
204.0,MOHANIA,12.0,missing,Independent,57251.0,287.0,57538.0,30.15,0.004547044421126268,0.3235396991955229
32.0,BENIPATTI,11.0,missing,Independent,1963.0,1.0,1964.0,1.12,0.004197271773347324,0.3235396991955229
174.0,ISLAMPUR,11.0,missing,Independent,580.0,1.0,581.0,0.31,0.004896817068905212,0.3235396991955229
215.0,KURTHA,4.0,missing,Rashtriya Janata Dal,68577.0,408.0,68985.0,41.59,0.004896817068905212,0.050017488632388946
235.0,RAJAULI,8.0,missing,Janshakti Janta Dal,2842.0,14.0,2856.0,1.42,0.004197271773347324,0.015739769150052464
90.0,MINAPUR,6.0,missing,Jagrook Janta Party,806.0,1.0,807.0,0.37,0.004197271773347324,0.013990905911157748
34.0,BABUBARHI,11.0,missing,Independent,5546.0,1.0,5547.0,2.69,0.004197271773347324,0.3235396991955229
231.0,TIKARI,3.0,missing,Hindustani Awam Morcha (Secular),94957.0,535.0,95492.0,44.83,0.004547044421126268,0.002098635886673662
154.0,PIRPAINTI,8.0,missing,Peoples Party of India (Democratic),1354.0,1.0,1355.0,0.55,0.0038474991255683807,0.00944386149003148
158.0,NATHNAGAR,8.0,missing,Independent,452.0,5.0,457.0,0.19,0.005596362364463099,0.3235396991955229
13.0,HARSIDHI,2.0,missing,Rashtriya Janata Dal,89216.0,553.0,89769.0,44.24,0.002448408534452606,0.050017488632388946
202.0,RAJPUR,1.0,missing,Rashtriya Lok Janshakti Party,1717.0,15.0,1732.0,0.82,0.004896817068905212,0.012591815320041973
116.0,TARAIYA,8.0,missing,Janshakti Janta Dal,680.0,1.0,681.0,0.35,0.005246589716684155,0.015739769150052464
77.0,MAHISHI,7.0,missing,Independent,651.0,2.0,653.0,0.32,0.005246589716684155,0.3235396991955229
163.0,BELHAR,6.0,missing,Socialist Unity Centre Of India (COMMUNIST),540.0,2.0,542.0,0.24,0.005596362364463099,0.012591815320041973
101.0,GOPALGANJ,5.0,missing,All India Majlis-E-Ittehadul Muslimeen,14162.0,63.0,14225.0,7.15,0.0031479538300104933,0.009793634137810424
180.0,BAKHTIARPUR,5.0,missing,Janshakti Janta Dal,790.0,1.0,791.0,0.4,0.003497726477789437,0.015739769150052464
109.0,DARAUNDA,7.0,missing,Independent,2976.0,0.0,2976.0,1.61,0.0027981811822315496,0.3235396991955229
207.0,CHENARI,9.0,missing,Republican Party of India (A),814.0,0.0,814.0,0.4,0.005596362364463099,0.001049317943336831
168.0,LAKHISARAI,14.0,missing,None of the Above,5724.0,7.0,5731.0,2.3,0.004896817068905212,0.08499475341028331
61.0,DHAMDAHA,3.0,missing,All India Majlis-E-Ittehadul Muslimeen,5123.0,3.0,5126.0,2.12,0.004197271773347324,0.009793634137810424
179.0,BARH,7.0,missing,Peoples Party of India (Democratic),403.0,1.0,404.0,0.21,0.004547044421126268,0.00944386149003148
201.0,DUMRAON,17.0,missing,None of the Above,3050.0,9.0,3059.0,1.56,0.005946135012242042,0.08499475341028331
140.0,HASANPUR,10.0,missing,Independent,3294.0,0.0,3294.0,1.61,0.004197271773347324,0.3235396991955229
82.0,DARBHANGA RURAL,2.0,missing,Janata Dal (United),80355.0,269.0,80624.0,44.05,0.004896817068905212,0.035327037425673315
131.0,KALYANPUR,5.0,missing,Jan Suraaj Party,16510.0,64.0,16574.0,6.92,0.007345225603357817,0.0832458901713886
151.0,PARBATTA,4.0,missing,Rashtriya Jansambhavna Party,2221.0,3.0,2224.0,1.03,0.002098635886673662,0.017488632388947184
183.0,KUMHRAR,8.0,missing,Jantantra Awaj Party,204.0,0.0,204.0,0.12,0.004896817068905212,0.002098635886673662
143.0,TEGHRA,11.0,missing,Independent,854.0,1.0,855.0,0.4,0.004896817068905212,0.3235396991955229
84.0,HAYAGHAT,11.0,missing,Independent,3576.0,2.0,3578.0,2.12,0.004896817068905212,0.3235396991955229
194.0,ARRAH,3.0,missing,Bharatiya Janata Party,93598.0,603.0,94201.0,50.98,0.004896817068905212,0.035327037425673315
34.0,BABUBARHI,5.0,missing,Janshakti Vikas Party (Democratic),562.0,1.0,563.0,0.27,0.004197271773347324,0.002448408534452606
146.0,BEGUSARAI,4.0,missing,Bahujan Samaj Party,369.0,3.0,372.0,0.16,0.005246589716684155,0.06330884924798881
82.0,DARBHANGA RURAL,12.0,missing,Independent,2900.0,1.0,2901.0,1.58,0.004896817068905212,0.3235396991955229
231.0,TIKARI,1.0,missing,Rashtriya Janata Dal,97017.0,533.0,97550.0,45.79,0.004547044421126268,0.050017488632388946
237.0,NAWADA,9.0,missing,Independent,1702.0,2.0,1704.0,0.85,0.004547044421126268,0.3235396991955229
154.0,PIRPAINTI,7.0,missing,Bhartiya Lok Chetna Party,533.0,1.0,534.0,0.22,0.0038474991255683807,0.005246589716684155
58.0,KASBA,13.0,missing,Independent,2546.0,0.0,2546.0,1.08,0.004896817068905212,0.3235396991955229
126.0,MAHUA,8.0,missing,Janshakti Janta Dal,35333.0,370.0,35703.0,16.89,0.005596362364463099,0.015739769150052464
233.0,ATRI,1.0,missing,Rashtriya Janata Dal,75973.0,352.0,76325.0,38.62,0.004547044421126268,0.050017488632388946
243.0,CHAKAI,11.0,missing,None of the Above,4519.0,3.0,4522.0,1.94,0.0038474991255683807,0.08499475341028331
14.0,GOVINDGANJ,4.0,missing,Indian National Congress,62965.0,386.0,63351.0,34.67,0.0031479538300104933,0.021336131514515563
123.0,HAJIPUR,7.0,missing,Yuva Devlop Party,419.0,5.0,424.0,0.19,0.004547044421126268,0.0003497726477789437
71.0,BIHARIGANJ,3.0,missing,Rashtriya Janata Dal,84876.0,124.0,85000.0,37.99,0.0027981811822315496,0.050017488632388946
129.0,MAHNAR,2.0,missing,Janata Dal (United),97482.0,568.0,98050.0,48.59,0.00664568030779993,0.035327037425673315
239.0,WARSALIGANJ,2.0,missing,Bharatiya Janata Party,89877.0,413.0,90290.0,44.96,0.003497726477789437,0.035327037425673315
215.0,KURTHA,10.0,missing,Independent,2326.0,1.0,2327.0,1.4,0.004896817068905212,0.3235396991955229
151.0,PARBATTA,5.0,missing,Jan Suraaj Party,3149.0,47.0,3196.0,1.49,0.002098635886673662,0.0832458901713886
172.0,BIHARSHARIF,3.0,missing,Bahujan Samaj Party,1387.0,9.0,1396.0,0.65,0.0038474991255683807,0.06330884924798881
71.0,BIHARIGANJ,2.0,missing,Bahujan Samaj Party,2198.0,1.0,2199.0,0.98,0.0027981811822315496,0.06330884924798881
112.0,MAHARAJGANJ,1.0,missing,Bahujan Samaj Party,2174.0,2.0,2176.0,1.16,0.004547044421126268,0.06330884924798881
162.0,KATORIA,1.0,missing,Bharatiya Janata Party,94070.0,190.0,94260.0,48.07,0.0038474991255683807,0.035327037425673315
183.0,KUMHRAR,11.0,missing,Independent,538.0,1.0,539.0,0.31,0.004896817068905212,0.3235396991955229
60.0,RUPAULI,4.0,missing,Aam Aadmi Party,1310.0,0.0,1310.0,0.58,0.005596362364463099,0.029031129765652326
9.0,SIKTA,9.0,missing,Independent,49795.0,234.0,50029.0,23.74,0.004197271773347324,0.3235396991955229
223.0,AURANGABAD,15.0,missing,Independent,2854.0,0.0,2854.0,1.42,0.005596362364463099,0.3235396991955229
127.0,RAJA PAKAR,5.0,missing,Sathi Aur Aapka Faisala Party,887.0,3.0,890.0,0.48,0.005246589716684155,0.001049317943336831
213.0,KARAKAT,8.0,missing,Independent,662.0,5.0,667.0,0.34,0.004896817068905212,0.3235396991955229
110.0,BARHARIA,5.0,missing,Jagrook Janta Party,410.0,2.0,412.0,0.21,0.004197271773347324,0.013990905911157748
36.0,MADHUBANI,6.0,missing,Right to Recall Party,1506.0,1.0,1507.0,0.71,0.003497726477789437,0.0027981811822315496
78.0,KUSHESHWAR ASTHAN,11.0,missing,None of the Above,6446.0,5.0,6451.0,3.93,0.0038474991255683807,0.08499475341028331
180.0,BAKHTIARPUR,8.0,missing,Independent,1029.0,0.0,1029.0,0.52,0.003497726477789437,0.3235396991955229
96.0,BARURAJ,1.0,missing,Bharatiya Janata Party,96663.0,216.0,96879.0,47.14,0.004547044421126268,0.035327037425673315
24.0,BATHNAHA,1.0,missing,Bharatiya Janata Party,123473.0,225.0,123698.0,57.47,0.004197271773347324,0.035327037425673315
212.0,DEHRI,10.0,missing,Independent,1804.0,2.0,1806.0,0.94,0.0038474991255683807,0.3235396991955229
52.0,BAHADURGANJ,9.0,missing,Independent,1666.0,1.0,1667.0,0.77,0.003497726477789437,0.3235396991955229
111.0,GORIAKOTHI,2.0,missing,Bharatiya Janata Party,105799.0,110.0,105909.0,49.64,0.0038474991255683807,0.035327037425673315
232.0,BELAGANJ,8.0,missing,Jan Suraaj Party,1598.0,23.0,1621.0,0.79,0.004547044421126268,0.0832458901713886
46.0,NARPATGANJ,15.0,missing,Independent,3757.0,4.0,3761.0,1.56,0.005596362364463099,0.3235396991955229
219.0,GOH,1.0,missing,Rashtriya Janata Dal,93243.0,381.0,93624.0,44.23,0.004197271773347324,0.050017488632388946
93.0,KURHANI,11.0,missing,Independent,276.0,2.0,278.0,0.12,0.007345225603357817,0.3235396991955229
30.0,BELSAND,4.0,missing,Rashtriya Janata Dal,59198.0,193.0,59391.0,32.44,0.003497726477789437,0.050017488632388946
210.0,DINARA,10.0,missing,Independent,680.0,1.0,681.0,0.36,0.004547044421126268,0.3235396991955229
38.0,JHANJHARPUR,11.0,missing,Independent,1670.0,0.0,1670.0,0.86,0.004896817068905212,0.3235396991955229
146.0,BEGUSARAI,9.0,missing,Independent,375.0,0.0,375.0,0.16,0.005246589716684155,0.3235396991955229
4.0,BAGAHA,4.0,missing,Aazad Samaj Party (Kanshi Ram),2648.0,11.0,2659.0,1.18,0.0027981811822315496,0.0062959076600209865
232.0,BELAGANJ,9.0,missing,Independent,835.0,2.0,837.0,0.41,0.004547044421126268,0.3235396991955229
38.0,JHANJHARPUR,6.0,missing,Communist Party of India,52914.0,195.0,53109.0,27.5,0.004896817068905212,0.0031479538300104933
130.0,PATEPUR,5.0,missing,Janshakti Janta Dal,557.0,2.0,559.0,0.27,0.0038474991255683807,0.015739769150052464
116.0,TARAIYA,3.0,missing,Bahujan Samaj Party,1870.0,5.0,1875.0,0.97,0.005246589716684155,0.06330884924798881
206.0,CHAINPUR,15.0,missing,Independent,1218.0,1.0,1219.0,0.53,0.008044770898915705,0.3235396991955229
224.0,RAFIGANJ,2.0,missing,Janata Dal (United),107120.0,395.0,107515.0,47.95,0.004547044421126268,0.035327037425673315
174.0,ISLAMPUR,5.0,missing,Jan Suraaj Party,4724.0,55.0,4779.0,2.55,0.004896817068905212,0.0832458901713886
33.0,KHAJAULI,9.0,missing,None of the Above,3517.0,5.0,3522.0,1.72,0.0031479538300104933,0.08499475341028331
39.0,PHULPARAS,10.0,missing,Independent,3718.0,10.0,3728.0,1.82,0.0038474991255683807,0.3235396991955229
115.0,BANIAPUR,9.0,missing,None of the Above,4870.0,6.0,4876.0,2.43,0.0031479538300104933,0.08499475341028331
48.0,FORBESGANJ,10.0,missing,Independent,1743.0,16.0,1759.0,0.7,0.004896817068905212,0.3235396991955229
43.0,SUPAUL,7.0,missing,Proutist Sarva Samaj,1402.0,2.0,1404.0,0.67,0.003497726477789437,0.0006995452955578874
76.0,SIMRI BAKHTIARPUR,4.0,missing,Jagrook Janta Party,523.0,8.0,531.0,0.23,0.005596362364463099,0.013990905911157748
210.0,DINARA,4.0,missing,Lohiya Janta Dal,1138.0,2.0,1140.0,0.61,0.004547044421126268,0.002098635886673662
198.0,SHAHPUR,1.0,missing,Bahujan Samaj Party,2911.0,12.0,2923.0,1.64,0.004197271773347324,0.06330884924798881
137.0,MOHIUDDINNAGAR,4.0,missing,Bharatiya Janata Party,88994.0,214.0,89208.0,48.68,0.004547044421126268,0.035327037425673315
119.0,GARKHA,2.0,missing,Rashtriya Lok Janshakti Party,1650.0,10.0,1660.0,0.82,0.004896817068905212,0.012591815320041973
62.0,PURNIA,1.0,missing,Aam Aadmi Party,976.0,4.0,980.0,0.42,0.003497726477789437,0.029031129765652326
153.0,GOPALPUR,4.0,missing,Lok Shakti Party (Loktantrik),1527.0,2.0,1529.0,0.8,0.0038474991255683807,0.001049317943336831
76.0,SIMRI BAKHTIARPUR,13.0,missing,Independent,695.0,0.0,695.0,0.3,0.005596362364463099,0.3235396991955229
232.0,BELAGANJ,4.0,missing,Bharatiya Sampuran Krantikari Party,962.0,5.0,967.0,0.47,0.004547044421126268,0.0006995452955578874
168.0,LAKHISARAI,13.0,missing,Independent,1938.0,0.0,1938.0,0.78,0.004896817068905212,0.3235396991955229
53.0,THAKURGANJ,4.0,missing,Jan Suraaj Party,6781.0,25.0,6806.0,2.77,0.0038474991255683807,0.0832458901713886
140.0,HASANPUR,11.0,missing,Independent,1349.0,0.0,1349.0,0.66,0.004197271773347324,0.3235396991955229
136.0,SARAIRANJAN,5.0,missing,Independent,1126.0,3.0,1129.0,0.54,0.0031479538300104933,0.3235396991955229
122.0,SONEPUR,6.0,missing,Janshakti Janta Dal,1235.0,0.0,1235.0,0.62,0.0031479538300104933,0.015739769150052464
217.0,GHOSI,11.0,missing,Independent,3071.0,2.0,3073.0,1.79,0.004197271773347324,0.3235396991955229
95.0,KANTI,6.0,missing,Kisan Suraj Dal,345.0,2.0,347.0,0.15,0.004896817068905212,0.0013990905911157748
87.0,JALE,6.0,missing,Jan Suraaj Party,5130.0,20.0,5150.0,2.57,0.003497726477789437,0.0832458901713886
65.0,BALRAMPUR,6.0,missing,The Plurals Party,885.0,0.0,885.0,0.32,0.00664568030779993,0.0062959076600209865
94.0,MUZAFFARPUR,18.0,missing,Independent,753.0,0.0,753.0,0.4,0.007345225603357817,0.3235396991955229
164.0,TARAPUR,12.0,missing,Independent,1283.0,1.0,1284.0,0.6,0.004896817068905212,0.3235396991955229
69.0,KORHA,4.0,missing,Peoples Party of India (Democratic),913.0,1.0,914.0,0.38,0.0031479538300104933,0.00944386149003148
84.0,HAYAGHAT,13.0,missing,Independent,2371.0,8.0,2379.0,1.41,0.004896817068905212,0.3235396991955229
65.0,BALRAMPUR,18.0,missing,Independent,1648.0,0.0,1648.0,0.59,0.00664568030779993,0.3235396991955229
122.0,SONEPUR,1.0,missing,Samata Party,1156.0,2.0,1158.0,0.58,0.0031479538300104933,0.00664568030779993
63.0,KATIHAR,9.0,missing,Independent,7332.0,79.0,7411.0,3.73,0.004197271773347324,0.3235396991955229
215.0,KURTHA,13.0,missing,Independent,1460.0,4.0,1464.0,0.88,0.004896817068905212,0.3235396991955229
167.0,SURYAGARHA,4.0,missing,Jan Suraaj Party,8386.0,43.0,8429.0,3.53,0.0031479538300104933,0.0832458901713886
183.0,KUMHRAR,12.0,missing,Independent,256.0,0.0,256.0,0.15,0.004896817068905212,0.3235396991955229
42.0,PIPRA,10.0,missing,Socialist Unity Centre Of India (COMMUNIST),2455.0,5.0,2460.0,1.1,0.009094088842252535,0.012591815320041973
65.0,BALRAMPUR,15.0,missing,Independent,2278.0,4.0,2282.0,0.82,0.00664568030779993,0.3235396991955229
129.0,MAHNAR,15.0,missing,Independent,7598.0,59.0,7657.0,3.79,0.00664568030779993,0.3235396991955229
93.0,KURHANI,15.0,missing,Independent,838.0,1.0,839.0,0.36,0.007345225603357817,0.3235396991955229
144.0,MATIHANI,3.0,missing,Jan Suraaj Party,6692.0,82.0,6774.0,2.74,0.002448408534452606,0.0832458901713886
200.0,BUXAR,9.0,missing,Gondvana Gantantra Party,781.0,1.0,782.0,0.41,0.005596362364463099,0.0013990905911157748
158.0,NATHNAGAR,5.0,missing,All India Majlis-E-Ittehadul Muslimeen,8220.0,6.0,8226.0,3.41,0.005596362364463099,0.009793634137810424
17.0,PIPRA,6.0,missing,Bajjikanchal Vikas Party,851.0,0.0,851.0,0.35,0.009094088842252535,0.002098635886673662
126.0,MAHUA,5.0,missing,All India Majlis-E-Ittehadul Muslimeen,15747.0,36.0,15783.0,7.47,0.005596362364463099,0.009793634137810424
57.0,BAISI,6.0,missing,Jan Suraaj Party,2384.0,5.0,2389.0,1.07,0.0027981811822315496,0.0832458901713886
99.0,BAIKUNTHPUR,4.0,missing,Jan Suraaj Party,7305.0,30.0,7335.0,3.46,0.0027981811822315496,0.0832458901713886
33.0,KHAJAULI,1.0,missing,Bharatiya Janata Party,100866.0,285.0,101151.0,49.36,0.0031479538300104933,0.035327037425673315
191.0,BIKRAM,11.0,missing,None of the Above,3335.0,3.0,3338.0,1.55,0.0038474991255683807,0.08499475341028331
215.0,KURTHA,6.0,missing,Jan Suraaj Party,4996.0,34.0,5030.0,3.03,0.004896817068905212,0.0832458901713886
213.0,KARAKAT,4.0,missing,Lohiya Janta Dal,992.0,3.0,995.0,0.5,0.004896817068905212,0.002098635886673662
108.0,RAGHUNATHPUR,6.0,missing,Independent,914.0,3.0,917.0,0.51,0.0027981811822315496,0.3235396991955229
159.0,AMARPUR,9.0,missing,Independent,455.0,0.0,455.0,0.23,0.004197271773347324,0.3235396991955229
192.0,SANDESH,4.0,missing,Rashtrawadi Janlok Party (Satya),505.0,4.0,509.0,0.28,0.004197271773347324,0.002448408534452606
56.0,AMOUR,1.0,missing,Indian National Congress,52685.0,106.0,52791.0,22.77,0.003497726477789437,0.021336131514515563
26.0,SURSAND,1.0,missing,Bahujan Samaj Party,1216.0,2.0,1218.0,0.59,0.004197271773347324,0.06330884924798881
129.0,MAHNAR,1.0,missing,Rashtriya Lok Janshakti Party,2523.0,31.0,2554.0,1.27,0.00664568030779993,0.012591815320041973
77.0,MAHISHI,8.0,missing,Independent,329.0,1.0,330.0,0.16,0.005246589716684155,0.3235396991955229
180.0,BAKHTIARPUR,7.0,missing,Independent,651.0,2.0,653.0,0.33,0.003497726477789437,0.3235396991955229
240.0,SIKANDRA,11.0,missing,None of the Above,3824.0,1.0,3825.0,1.97,0.0038474991255683807,0.08499475341028331
138.0,BIBHUTIPUR,12.0,missing,Independent,14411.0,45.0,14456.0,7.36,0.005246589716684155,0.3235396991955229
58.0,KASBA,4.0,missing,Bahujan Samaj Party,414.0,1.0,415.0,0.18,0.004896817068905212,0.06330884924798881
97.0,PAROO,2.0,missing,Rashtriya Janata Dal,94884.0,388.0,95272.0,41.76,0.0038474991255683807,0.050017488632388946
53.0,THAKURGANJ,11.0,missing,None of the Above,3604.0,5.0,3609.0,1.47,0.0038474991255683807,0.08499475341028331
65.0,BALRAMPUR,2.0,missing,Communist Party of India (Marxist-Leninist) (Liberation),78933.0,208.0,79141.0,28.56,0.00664568030779993,0.006995452955578874
206.0,CHAINPUR,6.0,missing,Uday Bharatam Party,627.0,0.0,627.0,0.27,0.008044770898915705,0.0003497726477789437
135.0,MORWA,9.0,missing,Independent,29960.0,86.0,30046.0,15.27,0.003497726477789437,0.3235396991955229
101.0,GOPALGANJ,7.0,missing,Bhartiya Insan Party,1022.0,2.0,1024.0,0.51,0.0031479538300104933,0.0003497726477789437
84.0,HAYAGHAT,12.0,missing,Independent,3665.0,2.0,3667.0,2.17,0.004896817068905212,0.3235396991955229
220.0,OBRA,12.0,missing,Swaraj Party (Loktantrik),1674.0,12.0,1686.0,0.82,0.00664568030779993,0.0013990905911157748
206.0,CHAINPUR,9.0,missing,Aazad Samaj Party (Kanshi Ram),3244.0,8.0,3252.0,1.42,0.008044770898915705,0.0062959076600209865
28.0,SITAMARHI,5.0,missing,"Proutist Bloc, India",337.0,1.0,338.0,0.16,0.004896817068905212,0.0031479538300104933
140.0,HASANPUR,2.0,missing,Aam Aadmi Party,2127.0,0.0,2127.0,1.04,0.004197271773347324,0.029031129765652326
138.0,BIBHUTIPUR,6.0,missing,Jan Suraaj Party,13399.0,51.0,13450.0,6.85,0.005246589716684155,0.0832458901713886
205.0,BHABUA,5.0,missing,Rashtriya Janata Dal,55032.0,592.0,55624.0,28.83,0.0031479538300104933,0.050017488632388946
169.0,SHEIKHPURA,10.0,missing,None of the Above,2417.0,5.0,2422.0,1.48,0.003497726477789437,0.08499475341028331
85.0,BAHADURPUR,4.0,missing,Rashtriya Lok Janshakti Party,1582.0,4.0,1586.0,0.75,0.0062959076600209865,0.012591815320041973
114.0,MANJHI,3.0,missing,Communist Party of India (Marxist),58405.0,263.0,58668.0,33.02,0.004547044421126268,0.0013990905911157748
185.0,FATUHA,13.0,missing,None of the Above,3930.0,8.0,3938.0,1.99,0.004547044421126268,0.08499475341028331
61.0,DHAMDAHA,11.0,missing,Independent,3032.0,0.0,3032.0,1.25,0.004197271773347324,0.3235396991955229
53.0,THAKURGANJ,10.0,missing,Independent,2543.0,1.0,2544.0,1.04,0.0038474991255683807,0.3235396991955229
111.0,GORIAKOTHI,11.0,missing,None of the Above,3649.0,6.0,3655.0,1.71,0.0038474991255683807,0.08499475341028331
1.0,VALMIKI NAGAR,5.0,missing,Independent,1553.0,1.0,1554.0,0.67,0.0027981811822315496,0.3235396991955229
179.0,BARH,11.0,missing,Independent,2246.0,1.0,2247.0,1.19,0.004547044421126268,0.3235396991955229
214.0,ARWAL,7.0,missing,Suheldev Bharatiya Samaj Party,3173.0,3.0,3176.0,1.86,0.005596362364463099,0.00944386149003148
222.0,KUTUMBA,8.0,missing,Independent,860.0,4.0,864.0,0.5,0.004197271773347324,0.3235396991955229
18.0,MADHUBAN,2.0,missing,Bharatiya Janata Party,85683.0,319.0,86002.0,46.78,0.0031479538300104933,0.035327037425673315
196.0,TARARI,7.0,missing,Voters Party International,186.0,1.0,187.0,0.1,0.005596362364463099,0.001049317943336831
63.0,KATIHAR,12.0,missing,None of the Above,2169.0,9.0,2178.0,1.1,0.004197271773347324,0.08499475341028331
223.0,AURANGABAD,5.0,missing,Socialist Unity Centre Of India (COMMUNIST),293.0,4.0,297.0,0.15,0.005596362364463099,0.012591815320041973
124.0,LALGANJ,11.0,missing,None of the Above,2162.0,12.0,2174.0,0.91,0.0038474991255683807,0.08499475341028331
27.0,BAJPATTI,13.0,missing,Independent,3102.0,3.0,3105.0,1.41,0.004896817068905212,0.3235396991955229
6.0,NAUTAN,3.0,missing,Bahujan Samaj Party,2700.0,14.0,2714.0,1.31,0.004197271773347324,0.06330884924798881
222.0,KUTUMBA,11.0,missing,Independent,2575.0,3.0,2578.0,1.48,0.004197271773347324,0.3235396991955229
217.0,GHOSI,6.0,missing,Aam Janta Party Rashtriya,830.0,6.0,836.0,0.49,0.004197271773347324,0.0006995452955578874
6.0,NAUTAN,8.0,missing,Independent,1530.0,3.0,1533.0,0.74,0.004197271773347324,0.3235396991955229
22.0,SHEOHAR,7.0,missing,Rashtriya Jansambhavna Party,802.0,0.0,802.0,0.38,0.004197271773347324,0.017488632388947184
134.0,UJIARPUR,5.0,missing,Rashtriya Lok Morcha,86262.0,162.0,86424.0,37.58,0.005596362364463099,0.002098635886673662
58.0,KASBA,12.0,missing,Independent,6672.0,2.0,6674.0,2.83,0.004896817068905212,0.3235396991955229
57.0,BAISI,1.0,missing,Rashtriya Janata Dal,55863.0,137.0,56000.0,24.97,0.0027981811822315496,0.050017488632388946
71.0,BIHARIGANJ,5.0,missing,Socialist Unity Centre Of India (COMMUNIST),2491.0,2.0,2493.0,1.11,0.0027981811822315496,0.012591815320041973
69.0,KORHA,2.0,missing,Indian National Congress,101052.0,186.0,101238.0,42.48,0.0031479538300104933,0.021336131514515563
204.0,MOHANIA,11.0,missing,Independent,2202.0,3.0,2205.0,1.16,0.004547044421126268,0.3235396991955229
206.0,CHAINPUR,17.0,missing,Independent,1747.0,0.0,1747.0,0.76,0.008044770898915705,0.3235396991955229
148.0,ALAULI,6.0,missing,None of the Above,3951.0,2.0,3953.0,2.2,0.002098635886673662,0.08499475341028331
230.0,GAYA TOWN,19.0,missing,Independent,347.0,0.0,347.0,0.21,0.008044770898915705,0.3235396991955229
151.0,PARBATTA,3.0,missing,Rashtriya Janata Dal,84253.0,385.0,84638.0,39.36,0.002098635886673662,0.050017488632388946
172.0,BIHARSHARIF,4.0,missing,Bharatiya Janata Party,108731.0,573.0,109304.0,50.83,0.0038474991255683807,0.035327037425673315
230.0,GAYA TOWN,7.0,missing,Samaj Satta Dal,101.0,1.0,102.0,0.06,0.008044770898915705,0.0006995452955578874
164.0,TARAPUR,7.0,missing,Janshakti Janta Dal,385.0,2.0,387.0,0.18,0.004896817068905212,0.015739769150052464
150.0,BELDAUR,5.0,missing,Rashtriya Lok Janshakti Party,4960.0,18.0,4978.0,2.29,0.005246589716684155,0.012591815320041973
59.0,BANMANKHI,4.0,missing,Suheldev Bharatiya Samaj Party,1181.0,0.0,1181.0,0.55,0.002098635886673662,0.00944386149003148
107.0,DARAULI,2.0,missing,Communist Party of India (Marxist-Leninist) (Liberation),73284.0,158.0,73442.0,41.92,0.002448408534452606,0.006995452955578874
