constituency_number,constituency_name,serial_number,candidate_name,party,evm_votes,postal_votes,total_votes,vote_percentage,constituency_name_freq,party_freq
47.0,RANIGANJ,1.0,missing,Janata Dal (United),102923.0,137.0,103060.0,44.74,0.0027981811822315496,0.035327037425673315
181.0,DIGHA,2.0,missing,Bahujan Samaj Party,1925.0,5.0,1930.0,0.98,0.004197271773347324,0.06330884924798881
25.0,PARIHAR,9.0,missing,Independent,65271.0,184.0,65455.0,31.17,0.003497726477789437,0.3235396991955229
164.0,TARAPUR,14.0,missing,None of the Above,2900.0,7.0,2907.0,1.35,0.004896817068905212,0.08499475341028331
179.0,BARH,2.0,missing,Aam Aadmi Party,1350.0,3.0,1353.0,0.71,0.004547044421126268,0.029031129765652326
65.0,BALRAMPUR,19.0,missing,None of the Above,3184.0,1.0,3185.0,1.15,0.00664568030779993,0.08499475341028331
86.0,KEOTI,11.0,missing,None of the Above,2453.0,1.0,2454.0,1.27,0.0038474991255683807,0.08499475341028331
78.0,KUSHESHWAR ASTHAN,8.0,missing,Independent,1198.0,3.0,1201.0,0.73,0.0038474991255683807,0.3235396991955229
212.0,DEHRI,2.0,missing,Lok Janshakti Party (Ram Vilas),103684.0,338.0,104022.0,54.29,0.0038474991255683807,0.009793634137810424
153.0,GOPALPUR,8.0,missing,Independent,691.0,0.0,691.0,0.36,0.0038474991255683807,0.3235396991955229
180.0,BAKHTIARPUR,6.0,missing,Jan Suraaj Party,6541.0,40.0,6581.0,3.36,0.003497726477789437,0.0832458901713886
97.0,PAROO,7.0,missing,Independent,2247.0,1.0,2248.0,0.99,0.0038474991255683807,0.3235396991955229
65.0,BALRAMPUR,14.0,missing,Independent,9159.0,36.0,9195.0,3.32,0.00664568030779993,0.3235396991955229
147.0,BAKHRI,2.0,missing,Lok Janshakti Party (Ram Vilas),98368.0,143.0,98511.0,47.67,0.003497726477789437,0.009793634137810424
90.0,MINAPUR,3.0,missing,Rashtriya Janata Dal,78926.0,247.0,79173.0,36.01,0.004197271773347324,0.050017488632388946
133.0,SAMASTIPUR,7.0,missing,Bharatiya Sampuran Krantikari Party,683.0,1.0,684.0,0.34,0.004547044421126268,0.0006995452955578874
96.0,BARURAJ,10.0,missing,Independent,704.0,0.0,704.0,0.34,0.004547044421126268,0.3235396991955229
220.0,OBRA,7.0,missing,New India United Party,300.0,1.0,301.0,0.15,0.00664568030779993,0.0006995452955578874
186.0,DANAPUR,1.0,missing,Bharatiya Janata Party,119528.0,349.0,119877.0,54.41,0.0027981811822315496,0.035327037425673315
35.0,BISFI,7.0,missing,Independent,3772.0,0.0,3772.0,1.82,0.0031479538300104933,0.3235396991955229
230.0,GAYA TOWN,1.0,missing,Indian National Congress,64143.0,312.0,64455.0,38.61,0.008044770898915705,0.021336131514515563
233.0,ATRI,5.0,missing,Hindustani Awam Morcha (Secular),101838.0,264.0,102102.0,51.66,0.004547044421126268,0.002098635886673662
44.0,TRIVENIGANJ,6.0,missing,None of the Above,4145.0,8.0,4153.0,1.87,0.002098635886673662,0.08499475341028331
164.0,TARAPUR,6.0,missing,Jan Suraaj Party,3862.0,36.0,3898.0,1.81,0.004896817068905212,0.0832458901713886
138.0,BIBHUTIPUR,15.0,missing,None of the Above,4805.0,2.0,4807.0,2.45,0.005246589716684155,0.08499475341028331
209.0,KARGAHAR,7.0,missing,Rashtriya Jansambhavna Party,457.0,1.0,458.0,0.21,0.004547044421126268,0.017488632388947184
21.0,DHAKA,3.0,missing,Aam Aadmi Party,908.0,4.0,912.0,0.37,0.0038474991255683807,0.029031129765652326
35.0,BISFI,1.0,missing,Aam Aadmi Party,1329.0,2.0,1331.0,0.64,0.0031479538300104933,0.029031129765652326
111.0,GORIAKOTHI,6.0,missing,Peoples Party of India (Democratic),459.0,1.0,460.0,0.22,0.0038474991255683807,0.00944386149003148
166.0,JAMALPUR,1.0,missing,Bahujan Samaj Party,1293.0,14.0,1307.0,0.65,0.005596362364463099,0.06330884924798881
161.0,BANKA,12.0,missing,Independent,1103.0,0.0,1103.0,0.57,0.005246589716684155,0.3235396991955229
149.0,KHAGARIA,1.0,missing,Indian National Congress,70171.0,402.0,70573.0,38.51,0.0038474991255683807,0.021336131514515563
223.0,AURANGABAD,11.0,missing,Independent,339.0,1.0,340.0,0.17,0.005596362364463099,0.3235396991955229
230.0,GAYA TOWN,18.0,missing,Independent,90.0,0.0,90.0,0.05,0.008044770898915705,0.3235396991955229
237.0,NAWADA,12.0,missing,Independent,2855.0,2.0,2857.0,1.42,0.004547044421126268,0.3235396991955229
192.0,SANDESH,9.0,missing,Independent,5373.0,26.0,5399.0,2.95,0.004197271773347324,0.3235396991955229
209.0,KARGAHAR,9.0,missing,Independent,2495.0,4.0,2499.0,1.14,0.004547044421126268,0.3235396991955229
146.0,BEGUSARAI,10.0,missing,Independent,519.0,0.0,519.0,0.23,0.005246589716684155,0.3235396991955229
228.0,BARACHATTI,8.0,missing,Socialist Party (India),718.0,2.0,720.0,0.32,0.004197271773347324,0.0027981811822315496
103.0,BHOREY,6.0,missing,None of the Above,7511.0,6.0,7517.0,3.53,0.002098635886673662,0.08499475341028331
136.0,SARAIRANJAN,4.0,missing,Jan Suraaj Party,5455.0,38.0,5493.0,2.64,0.0031479538300104933,0.0832458901713886
144.0,MATIHANI,4.0,missing,Samata Party,1341.0,4.0,1345.0,0.54,0.002448408534452606,0.00664568030779993
109.0,DARAUNDA,8.0,missing,None of the Above,5146.0,5.0,5151.0,2.78,0.0027981811822315496,0.08499475341028331
129.0,MAHNAR,10.0,missing,Jan Suraaj Party,4446.0,66.0,4512.0,2.24,0.00664568030779993,0.0832458901713886
37.0,RAJNAGAR,8.0,missing,None of the Above,2886.0,3.0,2889.0,1.51,0.0027981811822315496,0.08499475341028331
113.0,EKMA,9.0,missing,Independent,2460.0,0.0,2460.0,1.44,0.0038474991255683807,0.3235396991955229
152.0,BIHPUR,3.0,missing,Vikassheel Insaan Party,61326.0,107.0,61433.0,35.19,0.0038474991255683807,0.004197271773347324
184.0,PATNA SAHIB,6.0,missing,Sarv Jan Party (Bharat),377.0,0.0,377.0,0.16,0.0038474991255683807,0.0003497726477789437
188.0,PHULWARI,13.0,missing,None of the Above,4838.0,6.0,4844.0,1.88,0.004547044421126268,0.08499475341028331
234.0,WAZIRGANJ,7.0,missing,Jan Suraaj Party,4950.0,67.0,5017.0,2.39,0.004547044421126268,0.0832458901713886
214.0,ARWAL,5.0,missing,Janshakti Janta Dal,794.0,10.0,804.0,0.47,0.005596362364463099,0.015739769150052464
154.0,PIRPAINTI,9.0,missing,Independent,2303.0,0.0,2303.0,0.93,0.0038474991255683807,0.3235396991955229
106.0,ZIRADEI,2.0,missing,Bahujan Samaj Party,5090.0,12.0,5102.0,3.23,0.0038474991255683807,0.06330884924798881
164.0,TARAPUR,4.0,missing,Bharatiya Janata Party,122199.0,281.0,122480.0,56.77,0.004896817068905212,0.035327037425673315
205.0,BHABUA,8.0,missing,Independent,777.0,1.0,778.0,0.4,0.0031479538300104933,0.3235396991955229
189.0,MASAURHI,9.0,missing,Independent,1096.0,0.0,1096.0,0.49,0.003497726477789437,0.3235396991955229
151.0,PARBATTA,1.0,missing,Lok Janshakti Party (Ram Vilas),118259.0,418.0,118677.0,55.18,0.002098635886673662,0.009793634137810424
5.0,LAURIYA,3.0,missing,The Plurals Party,4030.0,5.0,4035.0,2.11,0.002098635886673662,0.0062959076600209865
104.0,HATHUA,3.0,missing,Janata Dal (United),91842.0,279.0,92121.0,46.99,0.0038474991255683807,0.035327037425673315
87.0,JALE,1.0,missing,Indian National Congress,78363.0,271.0,78634.0,39.25,0.003497726477789437,0.021336131514515563
140.0,HASANPUR,1.0,missing,Bahujan Samaj Party,1716.0,7.0,1723.0,0.84,0.004197271773347324,0.06330884924798881
220.0,OBRA,11.0,missing,Jan Suraaj Party,3707.0,72.0,3779.0,1.85,0.00664568030779993,0.0832458901713886
158.0,NATHNAGAR,13.0,missing,Independent,1647.0,1.0,1648.0,0.68,0.005596362364463099,0.3235396991955229
120.0,AMNOUR,9.0,missing,Independent,528.0,3.0,531.0,0.31,0.004547044421126268,0.3235396991955229
12.0,NARKATIA,6.0,missing,Independent,1937.0,0.0,1937.0,0.87,0.002448408534452606,0.3235396991955229
96.0,BARURAJ,8.0,missing,Jan Suraaj Party,19898.0,37.0,19935.0,9.7,0.004547044421126268,0.0832458901713886
92.0,SAKRA,9.0,missing,None of the Above,3527.0,8.0,3535.0,1.72,0.0031479538300104933,0.08499475341028331
210.0,DINARA,1.0,missing,Rashtriya Lok Janshakti Party,872.0,27.0,899.0,0.48,0.004547044421126268,0.012591815320041973
105.0,SIWAN,1.0,missing,Rashtriya Janata Dal,82847.0,162.0,83009.0,43.56,0.004896817068905212,0.050017488632388946
170.0,BARBIGHA,6.0,missing,Right to Recall Party,785.0,0.0,785.0,0.54,0.003497726477789437,0.0027981811822315496
21.0,DHAKA,11.0,missing,None of the Above,3042.0,5.0,3047.0,1.24,0.0038474991255683807,0.08499475341028331
26.0,SURSAND,4.0,missing,Rashtriya Janata Dal,80245.0,245.0,80490.0,38.67,0.004197271773347324,0.050017488632388946
36.0,MADHUBANI,5.0,missing,All India Majlis-E-Ittehadul Muslimeen,12938.0,33.0,12971.0,6.14,0.003497726477789437,0.009793634137810424
176.0,NALANDA,5.0,missing,Jan Suraaj Party,5129.0,77.0,5206.0,2.61,0.0038474991255683807,0.0832458901713886
91.0,BOCHAHAN,9.0,missing,None of the Above,3805.0,10.0,3815.0,1.74,0.0031479538300104933,0.08499475341028331
145.0,SAHEBPUR KAMAL,7.0,missing,Parivartan Party of India,674.0,3.0,677.0,0.36,0.005246589716684155,0.0003497726477789437
54.0,KISHANGANJ,10.0,missing,Independent,906.0,0.0,906.0,0.4,0.0038474991255683807,0.3235396991955229
182.0,BANKIPUR,3.0,missing,Rashtriya Janata Dal,46308.0,55.0,46363.0,29.55,0.003497726477789437,0.050017488632388946
166.0,JAMALPUR,14.0,missing,Independent,14169.0,49.0,14218.0,7.06,0.005596362364463099,0.3235396991955229
110.0,BARHARIA,7.0,missing,Independent,383.0,1.0,384.0,0.19,0.004197271773347324,0.3235396991955229
131.0,KALYANPUR,2.0,missing,Communist Party of India (Marxist-Leninist) (Liberation),79389.0,187.0,79576.0,33.2,0.007345225603357817,0.006995452955578874
24.0,BATHNAHA,9.0,missing,Independent,1664.0,9.0,1673.0,0.78,0.004197271773347324,0.3235396991955229
98.0,SAHEBGANJ,6.0,missing,Independent,183.0,0.0,183.0,0.08,0.004896817068905212,0.3235396991955229
198.0,SHAHPUR,11.0,missing,Independent,1839.0,5.0,1844.0,1.03,0.004197271773347324,0.3235396991955229
112.0,MAHARAJGANJ,9.0,missing,Independent,885.0,1.0,886.0,0.47,0.004547044421126268,0.3235396991955229
113.0,EKMA,3.0,missing,Rashtriya Janata Dal,61161.0,208.0,61369.0,35.88,0.0038474991255683807,0.050017488632388946
213.0,KARAKAT,7.0,missing,Independent,495.0,1.0,496.0,0.25,0.004896817068905212,0.3235396991955229
123.0,HAJIPUR,6.0,missing,Socialist Unity Centre Of India (COMMUNIST),254.0,0.0,254.0,0.11,0.004547044421126268,0.012591815320041973
41.0,NIRMALI,9.0,missing,None of the Above,6235.0,5.0,6240.0,2.8,0.0031479538300104933,0.08499475341028331
58.0,KASBA,10.0,missing,Independent,11151.0,61.0,11212.0,4.75,0.004896817068905212,0.3235396991955229
208.0,SASARAM,19.0,missing,Independent,860.0,0.0,860.0,0.39,0.008044770898915705,0.3235396991955229
51.0,SIKTI,9.0,missing,None of the Above,2017.0,1.0,2018.0,0.92,0.0031479538300104933,0.08499475341028331
21.0,DHAKA,7.0,missing,Rashtriya Jansambhavna Party,477.0,0.0,477.0,0.19,0.0038474991255683807,0.017488632388947184
197.0,JAGDISHPUR,9.0,missing,Independent,3257.0,15.0,3272.0,1.74,0.0038474991255683807,0.3235396991955229
120.0,AMNOUR,13.0,missing,None of the Above,3745.0,4.0,3749.0,2.21,0.004547044421126268,0.08499475341028331
133.0,SAMASTIPUR,5.0,missing,Apna Kisan Party,342.0,0.0,342.0,0.17,0.004547044421126268,0.0017488632388947185
224.0,RAFIGANJ,8.0,missing,Independent,555.0,0.0,555.0,0.25,0.004547044421126268,0.3235396991955229
179.0,BARH,5.0,missing,Panchpauniya Samaj Party,637.0,2.0,639.0,0.34,0.004547044421126268,0.0006995452955578874
59.0,BANMANKHI,3.0,missing,Bahujan Samaj Party,2124.0,4.0,2128.0,0.99,0.002098635886673662,0.06330884924798881
200.0,BUXAR,8.0,missing,Rashtriya Jansambhavna Party,343.0,3.0,346.0,0.18,0.005596362364463099,0.017488632388947184
90.0,MINAPUR,2.0,missing,Bahujan Samaj Party,3160.0,2.0,3162.0,1.44,0.004197271773347324,0.06330884924798881
208.0,SASARAM,18.0,missing,Independent,371.0,0.0,371.0,0.17,0.008044770898915705,0.3235396991955229
9.0,SIKTA,12.0,missing,None of the Above,4566.0,2.0,4568.0,2.17,0.004197271773347324,0.08499475341028331
15.0,KESARIA,2.0,missing,Janata Dal (United),77879.0,313.0,78192.0,44.26,0.0038474991255683807,0.035327037425673315
89.0,AURAI,8.0,missing,None of the Above,3436.0,7.0,3443.0,1.66,0.0027981811822315496,0.08499475341028331
3.0,NARKATIAGANJ,8.0,missing,Independent,3823.0,8.0,3831.0,1.95,0.004547044421126268,0.3235396991955229
239.0,WARSALIGANJ,10.0,missing,None of the Above,4101.0,1.0,4102.0,2.04,0.003497726477789437,0.08499475341028331
147.0,BAKHRI,10.0,missing,None of the Above,3668.0,5.0,3673.0,1.78,0.003497726477789437,0.08499475341028331
28.0,SITAMARHI,8.0,missing,Independent,993.0,2.0,995.0,0.46,0.004896817068905212,0.3235396991955229
